cell_id,lat_idx,lon_idx,lat_center,lon_center,year,count
0_0,0,0,25.0,123.0,2000,23
0_0,0,0,25.0,123.0,2001,32
0_0,0,0,25.0,123.0,2002,114
0_0,0,0,25.0,123.0,2003,33
0_0,0,0,25.0,123.0,2004,39
0_0,0,0,25.0,123.0,2005,56
0_0,0,0,25.0,123.0,2006,55
0_0,0,0,25.0,123.0,2007,41
0_0,0,0,25.0,123.0,2008,35
0_0,0,0,25.0,123.0,2009,32
0_0,0,0,25.0,123.0,2010,29
0_0,0,0,25.0,123.0,2011,29
0_0,0,0,25.0,123.0,2012,30
0_0,0,0,25.0,123.0,2013,105
0_0,0,0,25.0,123.0,2014,46
0_0,0,0,25.0,123.0,2015,57
0_0,0,0,25.0,123.0,2016,36
0_0,0,0,25.0,123.0,2017,36
0_0,0,0,25.0,123.0,2018,33
0_0,0,0,25.0,123.0,2019,26
0_0,0,0,25.0,123.0,2020,91
0_0,0,0,25.0,123.0,2021,144
0_0,0,0,25.0,123.0,2022,36
0_0,0,0,25.0,123.0,2023,37
0_1,0,1,25.0,125.0,2000,8
0_1,0,1,25.0,125.0,2001,12
0_1,0,1,25.0,125.0,2002,29
0_1,0,1,25.0,125.0,2003,4
0_1,0,1,25.0,125.0,2004,9
0_1,0,1,25.0,125.0,2005,8
0_1,0,1,25.0,125.0,2006,15
0_1,0,1,25.0,125.0,2007,44
0_1,0,1,25.0,125.0,2008,24
0_1,0,1,25.0,125.0,2009,17
0_1,0,1,25.0,125.0,2010,21
0_1,0,1,25.0,125.0,2011,11
0_1,0,1,25.0,125.0,2012,9
0_1,0,1,25.0,125.0,2013,19
0_1,0,1,25.0,125.0,2014,22
0_1,0,1,25.0,125.0,2015,15
0_1,0,1,25.0,125.0,2016,25
0_1,0,1,25.0,125.0,2017,13
0_1,0,1,25.0,125.0,2018,9
0_1,0,1,25.0,125.0,2019,25
0_1,0,1,25.0,125.0,2020,22
0_1,0,1,25.0,125.0,2021,19
0_1,0,1,25.0,125.0,2022,20
0_1,0,1,25.0,125.0,2023,34
0_10,0,10,25.0,143.0,2000,2
0_10,0,10,25.0,143.0,2001,6
0_10,0,10,25.0,143.0,2002,2
0_10,0,10,25.0,143.0,2003,6
0_10,0,10,25.0,143.0,2004,14
0_10,0,10,25.0,143.0,2005,3
0_10,0,10,25.0,143.0,2006,9
0_10,0,10,25.0,143.0,2007,8
0_10,0,10,25.0,143.0,2008,18
0_10,0,10,25.0,143.0,2009,6
0_10,0,10,25.0,143.0,2010,2
0_10,0,10,25.0,143.0,2011,29
0_10,0,10,25.0,143.0,2012,10
0_10,0,10,25.0,143.0,2013,2
0_10,0,10,25.0,143.0,2014,6
0_10,0,10,25.0,143.0,2015,18
0_10,0,10,25.0,143.0,2016,11
0_10,0,10,25.0,143.0,2017,15
0_10,0,10,25.0,143.0,2018,5
0_10,0,10,25.0,143.0,2019,12
0_10,0,10,25.0,143.0,2020,17
0_10,0,10,25.0,143.0,2021,10
0_10,0,10,25.0,143.0,2022,4
0_10,0,10,25.0,143.0,2023,32
0_11,0,11,25.0,145.0,2000,0
0_11,0,11,25.0,145.0,2001,0
0_11,0,11,25.0,145.0,2002,0
0_11,0,11,25.0,145.0,2003,1
0_11,0,11,25.0,145.0,2004,0
0_11,0,11,25.0,145.0,2005,1
0_11,0,11,25.0,145.0,2006,0
0_11,0,11,25.0,145.0,2007,1
0_11,0,11,25.0,145.0,2008,0
0_11,0,11,25.0,145.0,2009,0
0_11,0,11,25.0,145.0,2010,0
0_11,0,11,25.0,145.0,2011,1
0_11,0,11,25.0,145.0,2012,5
0_11,0,11,25.0,145.0,2013,1
0_11,0,11,25.0,145.0,2014,2
0_11,0,11,25.0,145.0,2015,2
0_11,0,11,25.0,145.0,2016,0
0_11,0,11,25.0,145.0,2017,0
0_11,0,11,25.0,145.0,2018,0
0_11,0,11,25.0,145.0,2019,3
0_11,0,11,25.0,145.0,2020,0
0_11,0,11,25.0,145.0,2021,3
0_11,0,11,25.0,145.0,2022,0
0_11,0,11,25.0,145.0,2023,0
0_2,0,2,25.0,127.0,2000,7
0_2,0,2,25.0,127.0,2001,13
0_2,0,2,25.0,127.0,2002,4
0_2,0,2,25.0,127.0,2003,2
0_2,0,2,25.0,127.0,2004,11
0_2,0,2,25.0,127.0,2005,8
0_2,0,2,25.0,127.0,2006,8
0_2,0,2,25.0,127.0,2007,11
0_2,0,2,25.0,127.0,2008,13
0_2,0,2,25.0,127.0,2009,11
0_2,0,2,25.0,127.0,2010,7
0_2,0,2,25.0,127.0,2011,4
